"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"0000141","11610",10,0,8,"02",37700
"0000142","11501",0,1,1,"  ",0
"0000143","11601",69,0,2,"09",5394
"0000144","11704",7,0,4,"02",44370
"0000145","11615",14,0,1,"08",14731
"0000146","11611",7,0,4,"03",28129
"0000147","11611",25,0,1,"06",8700
"0000148","11501",9,0,2,"09",17446
"0000149","11801",12,0,4,"02",88624
"0000150","11501",21,0,2,"09",41180
"0000151","11613",14,0,1,"02",48720
"0000152","11615",16,0,5,"02",69600
"0000153","11503",24,0,4,"03",34771
"0000154","11607",23,0,3,"02",83810
"0000155","11705",13,0,4,"02",42920
"0000156","11703",13,0,2,"02",27839
"0000157","11615",16,0,5,"02",45820
"0000158","11703",24,0,2,"06",9309
"0000159","11504",24,0,1,"02",34800
"0000160","11605",13,0,1,"09",4785
"0000161","11601",21,0,2,"07",46400
"0000162","11505",4,0,3,"02",23200
"0000163","11505",14,0,2,"02",34220
"0000164","11502",12,0,1,"02",45240
"0000165","11604",21,0,2,"02",119421
"0000166","11616",26,0,2,"02",58579
"0000167","11501",6,0,1,"09",5133
"0000168","11603",20,0,2,"02",126091
"0000169","11606",12,0,4,"02",104400
"0000170","11501",9,0,1,"08",6554
"0000171","11610",36,0,6,"07",18270
"0000172","11701",17,0,1,"08",21442
"0000173","11505",16,0,5,"02",87000
"0000174","11702",47,0,3,"04",19720
"0000175","11605",24,0,1,"05",33065
"0000176","11611",12,0,2,"02",91872
"0000177","11601",88,0,2,"02",72500
"0000178","11615",52,0,1,"02",31899
"0000179","11705",16,0,2,"02",99818
"0000180","11608",12,0,3,"02",84158
"0000181","11701",17,0,1,"09",46284
"0000182","11604",19,0,5,"02",17400
"0000183","11609",18,0,2,"02",51562
"0000184","11507",12,0,2,"03",46400
"0000185","11704",42,0,2,"02",38280
"0000186","11505",5,0,2,"02",40890
"0000187","11615",14,0,4,"02",55679
"0000188","11603",24,0,1,"09",4350
"0000189","11603",28,0,1,"08",580
"0000190","11603",81,0,1,"09",57999
"0000191","11607",17,0,1,"02",12087
"0000192","11706",24,0,5,"02",57999
"0000193","11502",65,0,3,"02",55099
"0000194","11612",14,0,1,"01",16297
"0000195","11601",12,0,1,"02",92800
"0000196","11613",10,0,1,"09",23490
"0000197","11507",14,0,4,"02",34800
"0000198","11601",84,0,3,"02",42340
"0000199","11608",17,0,2,"09",25531
"0000200","11506",13,0,3,"02",30508
"0000201","11701",16,0,3,"02",172851
"0000202","11607",14,0,2,"02",57651
"0000203","11615",56,0,3,"02",39440
"0000204","11609",22,0,2,"09",12760
"0000205","11702",25,0,1,"08",1739
"0000206","11605",10,0,4,"02",63799
"0000207","11704",13,0,2,"02",130499
"0000208","11602",25,0,1,"03",4640
"0000209","11601",13,0,4,"02",76560
"0000210","11603",18,0,2,"08",15891
"0000211","11611",13,0,2,"02",25636
"0000212","11609",15,0,2,"02",45414
"0000213","11610",23,0,1,"09",12145
"0000214","11616",15,0,1,"02",69600
"0000215","11614",69,0,3,"03",110199
"0000216","11613",21,0,4,"02",20126
"0000217","11611",14,0,4,"02",47154
"0000218","11610",8,0,1,"03",8700
"0000219","11703",27,0,1,"08",20880
"0000220","11701",20,0,2,"02",67280
"0000221","11611",34,0,3,"06",20880
"0000222","11613",26,0,3,"02",26100
"0000223","11607",13,0,2,"02",18560
"0000224","11610",20,0,4,"02",93368
"0000225","11608",16,0,3,"02",55099
"0000226","11609",11,0,1,"02",0
"0000227","11705",13,0,4,"02",46980
"0000228","11615",16,0,2,"02",71340
"0000229","11801",5,0,4,"02",14499
"0000230","11611",48,0,1,"07",13919
"0000231","11615",16,0,2,"02",32828
"0000232","11703",14,0,2,"02",42920
"0000233","11606",57,0,1,"02",6959
"0000234","11802",14,0,2,"02",22098
"0000235","11611",12,0,5,"02",77430
"0000236","11506",14,0,5,"01",67860
"0000237","11507",2,0,1,"02",4408
"0000238","11608",23,0,2,"02",55853
"0000239","11705",28,0,4,"02",754
"0000240","11801",25,0,5,"02",44660
"0000241","11602",15,0,2,"02",110373
"0000242","11603",23,0,2,"07",29289
"0000243","11701",9,0,1,"07",22620
"0000244","11705",9,0,2,"01",10614
"0000245","11506",27,0,2,"01",13919
"0000246","11614",0,1,1,"  ",0
"0000247","11502",10,0,3,"02",15311
"0000248","11601",24,0,2,"08",10045
"0000249","11506",15,0,3,"07",41597
"0000250","11604",24,0,1,"06",57999
"0000251","11615",15,0,2,"02",41064
"0000252","11501",18,0,3,"06",27027
"0000253","11706",10,0,2,"01",35322
"0000254","11603",13,0,1,"06",69600
"0000255","11616",15,0,4,"02",60899
"0000256","11507",17,0,3,"02",42363
"0000257","11613",25,0,3,"08",8642
"0000258","11611",7,0,3,"08",11252
"0000259","11602",25,0,1,"03",52200
"0000260","11704",42,0,4,"02",78387
"0000261","11801",14,0,1,"02",0
"0000262","11706",13,0,2,"02",52200
"0000263","11503",10,0,6,"03",27259
"0000264","11801",11,0,2,"02",24186
"0000265","11703",15,0,2,"02",33060
"0000266","11614",30,0,1,"02",15561
"0000267","11604",15,0,1,"06",-463
"0000268","11706",17,0,3,"02",66120
"0000269","11501",49,0,2,"02",26679
"0000270","11607",21,0,1,"07",33466
"0000271","11705",3,0,2,"02",1392
"0000272","11507",12,0,2,"02",0
"0000273","11705",11,0,4,"02",79460
"0000274","11501",16,0,2,"02",52780
"0000275","11611",27,0,4,"02",35699
"0000276","11608",6,0,2,"02",228519
"0000277","11609",13,0,5,"02",72558
"0000278","11613",15,0,2,"02",45907
"0000279","11506",16,0,2,"02",79170
"0000280","11505",4,0,1,"02",12412
"0000281","11606",18,0,4,"02",19372
"0000282","11801",14,0,4,"02",28825
"0000283","11506",22,0,4,"02",110199
"0000284","11505",21,0,5,"02",90828
"0000285","11602",22,0,2,"08",64582
"0000286","11702",14,0,2,"02",63509
"0000287","11616",15,0,4,"02",128295
"0000288","11801",3,0,1,"01",20300
"0000289","11616",25,0,3,"02",53939
"0000290","11604",14,0,2,"02",20300
"0000291","11601",30,0,1,"02",1739
"0000292","11702",24,0,1,"02",31319
"0000293","11615",24,0,4,"02",40600
"0000294","11605",14,0,1,"02",39440
"0000295","11505",5,0,2,"02",29434
"0000296","11504",63,0,2,"03",73660
"0000297","11612",101,0,2,"02",23780
"0000298","11705",18,0,5,"02",56828
"0000299","11603",21,0,2,"09",14557
"0000300","11802",28,0,2,"02",14441
"0000301","11505",11,0,3,"02",234319
"0000302","11702",14,0,4,"02",110953
"0000303","11612",23,0,2,"02",19488
"0000304","11505",4,0,2,"02",91060
"0000305","11501",5,0,5,"03",23200
"0000306","11704",25,0,3,"02",64379
"0000307","11609",10,0,4,"02",114085
"0000308","11507",3,0,3,"02",25520
"0000309","11601",17,0,3,"02",26569
"0000310","11701",14,0,7,"02",42357
"0000311","11703",14,0,2,"01",17632
"0000312","11706",23,0,3,"02",52200
"0000313","11611",11,0,3,"02",38633
"0000314","11704",20,0,4,"02",63219
"0000315","11616",12,0,1,"03",56184
"0000316","11613",23,0,2,"01",6438
"0000317","11613",22,0,1,"03",50460
"0000318","11704",41,0,4,"02",80620
"0000319","11603",24,0,2,"09",171100
"0000320","11701",29,0,4,"02",52316
"0000321","11615",17,0,2,"02",65714
"0000322","11602",0,1,1,"  ",0
"0000323","11702",20,0,2,"02",49068
"0000324","11701",12,0,1,"02",16065
"0000325","11616",22,0,4,"02",118899
"0000326","11501",55,0,3,"02",17400
"0000327","11605",18,0,1,"02",17284
"0000328","11615",14,0,2,"02",40600
"0000329","11801",13,0,2,"02",53939
"0000330","11705",16,0,6,"02",25172
"0000331","11605",22,0,5,"02",57999
"0000332","11704",15,0,4,"02",82940
"0000333","11703",18,0,4,"02",97962
"0000334","11602",11,0,4,"02",78880
"0000335","11703",25,0,1,"03",46690
"0000336","11613",13,0,2,"02",14441
"0000337","11603",17,0,1,"09",28733
"0000338","11613",0,1,1,"  ",0
"0000339","11604",12,0,3,"07",8294
"0000340","11616",0,1,1,"  ",0
"0000341","11608",14,0,1,"05",46690
"0000342","11614",13,0,2,"01",41760
"0000343","11501",50,0,2,"02",47038
"0000344","11611",13,0,3,"02",85260
"0000345","11615",15,0,7,"02",95642
"0000346","11607",26,0,3,"05",46400
"0000347","11602",15,0,1,"02",36540
"0000348","11604",27,0,1,"02",33350
"0000349","11614",25,0,7,"02",52316
"0000350","11502",12,0,2,"08",48140
"0000351","11507",16,0,4,"04",25879
"0000352","11801",15,0,5,"02",107299
"0000353","11602",18,0,2,"02",27607
"0000354","11606",22,0,5,"02",37700
"0000355","11503",12,0,4,"03",35960
"0000356","11606",14,0,4,"08",47270
"0000357","11604",0,1,1,"  ",0
"0000358","11615",14,0,2,"01",7307
"0000359","11801",14,0,1,"03",28709
"0000360","11602",7,0,2,"02",105154
"0000361","11801",30,0,2,"06",72732
"0000362","11704",29,0,3,"02",98020
"0000363","11705",11,0,1,"02",29579
"0000364","11505",4,0,2,"02",55105
"0000365","11702",23,0,2,"06",45182
"0000366","11610",22,0,1,"08",39440
"0000367","11502",13,0,4,"02",72094
"0000368","11601",15,0,3,"02",75864
"0000369","11801",16,0,4,"02",36540
"0000370","11605",14,0,4,"06",8119
"0000371","11602",23,0,1,"09",6611
"0000372","11601",29,0,1,"04",35148
"0000373","11609",50,0,5,"02",57999
"0000374","11702",13,0,2,"02",70011
"0000375","11607",9,0,2,"02",16181
"0000376","11605",25,0,1,"09",57999
"0000377","11703",16,0,3,"02",62639
"0000378","11605",14,0,3,"03",62059
"0000379","11503",24,0,3,"07",39730
"0000380","11614",3,0,1,"01",4408
"0000381","11706",26,0,2,"07",25520
"0000382","11705",0,1,1,"  ",0
"0000383","11601",22,0,2,"06",61363
"0000384","11606",21,0,2,"03",73660
"0000385","11615",21,0,5,"02",78300
"0000386","11706",15,0,2,"02",25114
"0000387","11602",27,0,3,"02",36557
"0000388","11602",27,0,1,"08",6090
"0000389","11610",15,0,1,"02",49300
"0000390","11607",23,0,2,"02",95352
"0000391","11610",15,0,4,"02",76896
"0000392","11704",36,0,2,"05",81234
"0000393","11801",12,0,6,"02",231303
"0000394","11704",8,0,3,"02",85086
"0000395","11506",16,0,2,"03",30333
"0000396","11706",25,0,4,"02",95746
"0000397","11608",16,0,3,"02",98600
"0000398","11706",15,0,4,"02",263320
"0000399","11507",3,0,4,"02",70760
"0000400","11606",73,0,1,"09",20358
"0000401","11613",12,0,5,"02",39614
"0000402","11801",27,0,4,"02",33350
"0000403","11614",66,0,1,"06",16239
"0000404","11704",9,0,11,"02",75139
"0000405","11705",0,1,1,"  ",0
"0000406","11704",26,0,4,"02",29289
"0000407","11802",33,0,5,"03",7771
"0000408","11703",15,0,2,"02",12760
"0000409","11706",52,0,1,"01",14772
"0000410","11503",11,0,1,"02",0
"0000411","11501",0,1,1,"  ",0
"0000412","11610",21,0,1,"02",23838
"0000413","11611",13,0,4,"02",108923
"0000414","11612",24,0,4,"05",44544
"0000415","11705",18,0,4,"02",65772
"0000416","11615",20,0,1,"02",34394
"0000417","11501",34,0,2,"08",3479
"0000418","11611",8,0,3,"02",38512
"0000419","11502",38,0,2,"02",133400
"0000420","11602",8,0,1,"09",0
"0000421","11609",13,0,3,"02",76971
"0000422","11609",78,0,6,"08",19488
"0000423","11504",13,0,3,"01",24940
"0000424","11616",15,0,2,"02",42398
"0000425","11607",15,0,2,"02",52953
"0000426","11609",14,0,1,"02",6264
"0000427","11702",78,0,1,"09",7539
"0000428","11705",12,0,1,"02",15543
"0000429","11704",27,0,2,"02",47504
"0000430","11613",24,0,1,"09",12760
"0000431","11701",23,0,2,"02",73283
"0000432","11704",22,0,3,"02",89900
"0000433","11607",25,0,2,"02",27317
"0000434","11701",16,0,3,"02",86420
"0000435","11608",0,1,1,"  ",0
"0000436","11703",13,0,1,"05",7307
"0000437","11502",23,0,1,"04",69600
"0000438","11611",12,0,2,"02",60319
"0000439","11616",22,0,1,"02",23200
"0000440","11605",19,0,2,"04",77720
"0000441","11605",13,0,4,"02",79297
"0000442","11616",16,0,3,"02",158856
"0000443","11606",14,0,1,"02",31087
"0000444","11506",14,0,2,"02",23200
"0000445","11602",0,1,1,"  ",0
"0000446","11503",14,0,1,"02",8119
"0000447","11607",22,0,4,"02",35090
"0000448","11610",65,0,2,"06",22968
"0000449","11503",11,0,2,"03",9744
"0000450","11801",23,0,2,"03",104400
"0000451","11502",13,0,2,"02",43906
"0000452","11602",13,0,1,"08",1038
"0000453","11606",42,0,2,"08",27915
"0000454","11611",15,0,3,"02",92046
"0000455","11616",21,0,3,"02",580
"0000456","11704",16,0,1,"04",26685
"0000457","11614",4,0,2,"02",25288
"0000458","11612",15,0,1,"09",16007
"0000459","11705",5,0,1,"02",34800
"0000460","11602",11,0,1,"02",13803
"0000461","11616",55,0,3,"06",17400
"0000462","11604",25,0,2,"02",30739
"0000463","11603",12,0,1,"09",11600
"0000464","11506",19,0,2,"02",66584
"0000465","11611",66,0,2,"09",9860
"0000466","11801",3,0,2,"02",22272
"0000467","11502",18,0,2,"02",37700
"0000468","11704",16,0,3,"02",23490
"0000469","11502",3,0,1,"02",29463
"0000470","11607",12,0,2,"02",100949
"0000471","11601",24,0,3,"07",27259
"0000472","11706",12,0,2,"02",30159
"0000473","11601",64,0,1,"04",87058
"0000474","11602",13,0,2,"02",18664
"0000475","11702",12,0,1,"03",58916
"0000476","11706",13,0,6,"02",73254
"0000477","11704",24,0,2,"02",69600
"0000478","11603",23,0,2,"09",70760
"0000479","11702",26,0,3,"07",24708
"0000480","11706",25,0,7,"02",111127
"0000481","11607",25,0,1,"07",22332
"0000482","11504",12,0,1,"01",19488
"0000483","11605",12,0,2,"02",21576
"0000484","11602",12,0,2,"02",46458
"0000485","11706",7,0,2,"02",9280
"0000486","11802",14,0,6,"02",34800
"0000487","11503",15,0,2,"02",55795
"0000488","11501",23,0,3,"06",19314
"0000489","11706",12,0,1,"09",0
"0000490","11606",25,0,2,"02",54403
"0000491","11603",0,1,1,"  ",0
"0000492","11504",53,0,8,"02",25752
"0000493","11611",13,0,2,"06",17400
"0000494","11615",4,0,5,"01",35670
"0000495","11801",15,0,1,"02",31841
"0000496","11503",7,0,3,"03",0
"0000497","11801",22,0,2,"02",61479
"0000498","11504",11,0,2,"02",37236
"0000499","11603",0,1,1,"  ",0
"0000500","11705",18,0,2,"02",84680
"0000501","11612",27,0,2,"02",83752
"0000502","11601",36,0,2,"04",17632
"0000503","11501",6,0,2,"02",49184
"0000504","11603",73,0,2,"02",141520
"0000505","11604",20,0,2,"05",59159
"0000506","11611",0,1,1,"  ",0
"0000507","11506",19,0,4,"02",66700
"0000508","11802",18,0,6,"02",47136
"0000509","11607",25,0,4,"02",107804
"0000510","11506",14,0,1,"02",22446
"0000511","11616",13,0,2,"02",35960
"0000512","11802",0,1,1,"  ",0
"0000513","11612",23,0,7,"02",65075
"0000514","11801",13,0,2,"02",53533
"0000515","11602",22,0,1,"02",16820
"0000516","11610",11,0,2,"02",22156
"0000517","11704",9,0,1,"02",60902
"0000518","11610",22,0,2,"05",48754
"0000519","11706",10,0,3,"02",35322
"0000520","11606",0,1,1,"  ",0
"0000521","11702",15,0,2,"02",71630
"0000522","11802",12,0,1,"08",10324
"0000523","11503",8,0,4,"03",74820
"0000524","11607",15,0,4,"02",52832
"0000525","11702",18,0,3,"03",57999
"0000526","11501",5,0,1,"02",17400
"0000527","11604",25,0,1,"06",45820
"0000528","11603",23,0,2,"09",14441
"0000529","11602",15,0,2,"02",79344
"0000530","11615",16,0,3,"02",67280
"0000531","11704",8,0,2,"02",30275
"0000532","11607",24,0,2,"02",60899
"0000533","11601",26,0,1,"02",12702
"0000534","11503",0,1,1,"  ",0
"0000535","11507",2,0,3,"02",85028
"0000536","11609",11,0,2,"02",228521
"0000537","11608",14,0,2,"08",38048
"0000538","11501",22,0,4,"02",28999
"0000539","11701",0,1,1,"  ",0
"0000540","11609",14,0,4,"02",58057
"0000541","11601",23,0,1,"06",30768
"0000542","11613",66,0,2,"06",31319
"0000543","11504",14,0,4,"02",63799
"0000544","11502",0,1,1,"  ",0
"0000545","11604",13,0,2,"08",67396
"0000546","11705",17,0,1,"02",5568
"0000547","11606",17,0,6,"02",58115
"0000548","11608",8,0,1,"02",31493
"0000549","11505",64,0,2,"05",20880
"0000550","11608",13,0,5,"02",72268
"0000551","11606",13,0,1,"08",63811
"0000552","11705",12,0,2,"01",20300
"0000553","11607",23,0,2,"07",51040
"0000554","11504",59,0,1,"02",20880
"0000555","11615",24,0,2,"02",23432
"0000556","11610",12,0,2,"08",28361
"0000557","11701",13,0,2,"02",76560
"0000558","11609",12,0,3,"02",174580
"0000559","11603",19,0,2,"02",57941
"0000560","11701",25,0,2,"03",41760
"0000561","11614",14,0,2,"03",120639
"0000562","11605",18,0,4,"02",20624
"0000563","11706",8,0,3,"02",46632
"0000564","11604",14,0,3,"02",95700
"0000565","11604",17,0,1,"02",35380
"0000566","11505",4,0,4,"05",20126
"0000567","11801",3,0,3,"02",75730
"0000568","11602",13,0,1,"09",26181
"0000569","11706",17,0,3,"02",49996
"0000570","11701",12,0,3,"03",141636
"0000571","11505",6,0,2,"02",26001
"0000572","11605",14,0,1,"02",228519
"0000573","11505",65,0,3,"07",11971
"0000574","11613",16,0,4,"07",12528
"0000575","11604",27,0,1,"05",8468
"0000576","11801",18,0,1,"02",10440
"0000577","11612",0,1,1,"  ",0
"0000578","11802",13,0,1,"02",55099
"0000579","11505",22,0,3,"02",115999
"0000580","11802",21,0,1,"02",19720
"0000581","11705",21,0,4,"02",17864
"0000582","11502",25,0,3,"02",119711
"0000583","11703",31,0,4,"03",15195
"0000584","11506",22,0,1,"01",14093
"0000585","11606",19,0,1,"02",11600
"0000586","11603",64,0,1,"09",113099
"0000587","11506",21,0,2,"02",18832
"0000588","11610",45,0,4,"02",57999
"0000589","11701",11,0,3,"08",20242
"0000590","11501",13,0,3,"03",95700
"0000591","11601",15,0,4,"02",40194
"0000592","11505",5,0,1,"03",52200
"0000593","11706",22,0,2,"02",33814
"0000594","11505",10,0,2,"06",26100
"0000595","11801",25,0,3,"09",16321
"0000596","11503",21,0,2,"02",58579
"0000597","11601",81,0,1,"02",52200
"0000598","11611",14,0,5,"04",76270
"0000599","11601",24,0,4,"02",70180
"0000600","11705",97,0,2,"02",10440
"0000601","11503",40,0,1,"02",23780
"0000602","11702",22,0,1,"04",26100
"0000603","11614",20,0,6,"06",30565
"0000604","11705",14,0,3,"02",40020
"0000605","11605",25,0,3,"02",66700
"0000606","11604",23,0,5,"02",76444
"0000607","11612",21,0,3,"02",82708
"0000608","11601",29,0,1,"07",23200
"0000609","11603",23,0,1,"08",46400
"0000610","11802",10,0,2,"02",66143
"0000611","11610",22,0,2,"06",10614
"0000612","11605",67,0,1,"07",26100
"0000613","11503",33,0,2,"05",6959
"0000614","11702",16,0,1,"02",39440
"0000615","11706",24,0,2,"02",43500
"0000616","11502",24,0,2,"02",43906
"0000617","11504",4,0,2,"02",19488
"0000618","11614",6,0,5,"02",34800
"0000619","11603",24,0,2,"08",41180
"0000620","11604",46,0,1,"07",87580
"0000621","11604",21,0,1,"02",20880
"0000622","11614",17,0,2,"02",91988
"0000623","11601",30,0,1,"06",13919
"0000624","11505",5,0,1,"03",22040
"0000625","11611",22,0,2,"02",69600
"0000626","11501",23,0,1,"05",14615
"0000627","11607",13,0,4,"02",62639
"0000628","11705",15,0,2,"02",159500
"0000629","11503",21,0,5,"02",82070
"0000630","11616",14,0,2,"02",125859
"0000631","11612",14,0,2,"02",183860
"0000632","11613",23,0,4,"07",24360
"0000633","11504",17,0,5,"02",39846
"0000634","11608",11,0,1,"07",9454
"0000635","11704",17,0,5,"02",53591
"0000636","11502",24,0,2,"06",17634
"0000637","11608",91,0,1,"09",13281
"0000638","11706",12,0,1,"03",13223
"0000639","11602",22,0,5,"02",183280
"0000640","11607",14,0,4,"02",84390
"0000641","11505",6,0,4,"02",0
"0000642","11601",13,0,5,"02",65888
"0000643","11611",22,0,1,"02",9860
"0000644","11601",16,0,2,"05",33060
"0000645","11505",17,0,3,"02",61479
"0000646","11613",24,0,2,"02",33640
"0000647","11503",28,0,4,"09",20880
"0000648","11507",48,0,2,"02",43500
"0000649","11606",26,0,3,"02",132356
"0000650","11502",46,0,2,"02",139490
"0000651","11701",8,0,2,"02",87174
"0000652","11801",20,0,2,"02",351480
"0000653","11616",15,0,4,"02",62117
"0000654","11610",11,0,5,"02",44080
"0000655","11614",23,0,1,"05",23780
"0000656","11606",15,0,1,"06",22562
"0000657","11601",38,0,1,"06",30797
"0000658","11507",13,0,4,"02",22040
"0000659","11607",13,0,2,"02",13357
"0000660","11604",21,0,4,"03",125859
"0000661","11614",17,0,1,"02",20300
"0000662","11503",14,0,2,"02",128156
"0000663","11615",25,0,4,"02",32189
"0000664","11705",6,0,6,"02",19952
"0000665","11801",4,0,1,"01",42456
"0000666","11606",68,0,2,"09",37700
"0000667","11609",22,0,2,"09",92800
"0000668","11701",36,0,4,"02",69600
"0000669","11601",23,0,2,"02",56027
"0000670","11505",7,0,3,"02",157760
"0000671","11606",11,0,2,"01",66120
"0000672","11602",12,0,2,"02",45820
"0000673","11601",11,0,2,"02",23780
"0000674","11602",14,0,2,"07",29869
"0000675","11616",79,0,4,"02",107879
"0000676","11507",11,0,4,"02",60899
"0000677","11604",19,0,2,"08",30739
"0000678","11603",0,1,1,"  ",0
"0000679","11607",22,0,2,"02",57999
"0000680","11611",18,0,5,"02",12760
"0000681","11801",25,0,3,"02",89900
"0000682","11616",28,0,3,"06",50460
"0000683","11706",28,0,5,"02",20300
"0000684","11611",12,0,2,"06",34800
"0000685","11616",24,0,2,"02",145348
"0000686","11614",18,0,2,"06",22770
"0000687","11601",12,0,3,"02",208220
"0000688","11705",12,0,1,"01",11600
"0000689","11705",14,0,3,"02",49300
"0000690","11603",22,0,1,"08",52200
"0000691","11706",15,0,2,"02",9628
"0000692","11505",14,0,2,"02",46284
"0000693","11616",35,0,4,"02",45530
"0000694","11606",18,0,2,"02",43500
"0000695","11507",20,0,1,"02",7655
