"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"0000001","11606",26,0,2,"02",59275
"0000002","11505",3,0,3,"02",122089
"0000003","11615",91,0,5,"02",18096
"0000004","11801",11,0,2,"02",25636
"0000005","11507",26,0,5,"02",68556
"0000006","11801",3,0,4,"02",31899
"0000007","11604",18,0,2,"04",43790
"0000008","11506",18,0,5,"01",11484
"0000009","11607",13,0,2,"02",53939
"0000010","11706",7,0,2,"01",28999
"0000011","11603",19,0,1,"09",46400
"0000012","11604",37,0,1,"09",9976
"0000013","11703",25,0,4,"02",40600
"0000014","11601",26,0,2,"02",35902
"0000015","11703",18,0,1,"08",26100
"0000016","11802",11,0,2,"02",12992
"0000017","11611",23,0,2,"05",13050
"0000018","11603",13,0,1,"09",1160
"0000019","11705",13,0,1,"02",13223
"0000020","11602",8,0,3,"02",113969
"0000021","11616",14,0,2,"02",56201
"0000022","11505",5,0,2,"02",87000
"0000023","11603",18,0,1,"08",69623
"0000024","11702",10,0,3,"02",44080
"0000025","11705",12,0,4,"02",22736
"0000026","11603",38,0,1,"08",43500
"0000027","11503",52,0,4,"01",9744
"0000028","11610",16,0,2,"02",100195
"0000029","11602",15,0,4,"02",46487
"0000030","11505",23,0,2,"02",104400
"0000031","11706",6,0,2,"02",26621
"0000032","11602",13,0,1,"02",29057
"0000033","11501",22,0,1,"08",42925
"0000034","11611",30,0,1,"06",5220
"0000035","11505",9,0,5,"02",86437
"0000036","11802",14,0,2,"02",75295
"0000037","11601",25,0,4,"02",72210
"0000038","11505",16,0,2,"02",67280
"0000039","11606",15,0,2,"02",24360
"0000040","11601",32,0,2,"07",61479
"0000041","11703",28,0,5,"02",142448
"0000042","11608",39,0,4,"02",47850
"0000043","11610",19,0,2,"03",63219
"0000044","11505",4,0,5,"02",186644
"0000045","11801",39,0,4,"02",47850
"0000046","11704",15,0,2,"02",28419
"0000047","11605",37,0,3,"02",3479
"0000048","11505",5,0,1,"02",8526
"0000049","11615",47,0,2,"01",175160
"0000050","11507",14,0,3,"02",79228
"0000051","11612",12,0,2,"02",37265
"0000052","11702",12,0,1,"01",26679
"0000053","11504",30,0,2,"02",20938
"0000054","11604",24,0,2,"02",56375
"0000055","11601",13,0,3,"02",341040
"0000056","11601",11,0,1,"02",31331
"0000057","11613",21,0,1,"05",25752
"0000058","11607",21,0,4,"03",66711
"0000059","11603",12,0,2,"09",15659
"0000060","11612",18,0,4,"02",60203
"0000061","11802",25,0,3,"01",84390
"0000062","11502",13,0,2,"02",49300
"0000063","11612",25,0,2,"02",165300
"0000064","11801",13,0,1,"02",28883
"0000065","11706",36,0,4,"02",43500
"0000066","11603",12,0,1,"09",16239
"0000067","11801",16,0,2,"04",12760
"0000068","11616",24,0,3,"02",93728
"0000069","11502",23,0,4,"02",69020
"0000070","11604",24,0,1,"06",47560
"0000071","11616",14,0,2,"02",233159
"0000072","11613",38,0,3,"06",6206
"0000073","11606",24,0,2,"02",116023
"0000074","11604",27,0,5,"02",175566
"0000075","11801",12,0,4,"02",85782
"0000076","11602",18,0,4,"07",14209
"0000077","11605",22,0,2,"01",59797
"0000078","11603",28,0,2,"09",245049
"0000079","11505",5,0,2,"02",48546
"0000080","11504",77,0,5,"02",10788
"0000081","11608",27,0,2,"02",79576
"0000082","11704",15,0,5,"05",27259
"0000083","11602",21,0,4,"02",58724
"0000084","11607",24,0,2,"02",153207
"0000085","11505",5,0,1,"09",9338
"0000086","11502",8,0,2,"02",24476
"0000087","11801",12,0,1,"02",49311
"0000088","11608",23,0,2,"05",46400
"0000089","11505",5,0,2,"02",28419
"0000090","11608",14,0,5,"02",274920
"0000091","11602",24,0,3,"02",75400
"0000092","11610",12,0,6,"02",17516
"0000093","11701",6,0,4,"02",146740
"0000094","11611",67,0,4,"02",78416
"0000095","11605",12,0,2,"02",149872
"0000096","11603",26,0,1,"09",12760
"0000097","11614",16,0,3,"02",11136
"0000098","11503",24,0,1,"02",1026
"0000099","11703",14,0,2,"02",18908
"0000100","11802",13,0,2,"02",38059
"0000101","11610",20,0,2,"08",53591
"0000102","11506",15,0,2,"03",109851
"0000103","11602",17,0,1,"02",41470
"0000104","11504",13,0,4,"02",93612
"0000105","11706",22,0,2,"02",45008
"0000106","11607",19,0,2,"05",28999
"0000107","11607",28,0,3,"03",98020
"0000108","11616",16,0,4,"02",107821
"0000109","11615",16,0,1,"02",33640
"0000110","11611",14,0,2,"02",44602
"0000111","11601",43,0,1,"05",6959
"0000112","11609",14,0,4,"02",84100
"0000113","11705",22,0,1,"08",4176
"0000114","11605",37,0,1,"07",17980
"0000115","11608",26,0,2,"09",61189
"0000116","11612",15,0,3,"02",46748
"0000117","11604",41,0,3,"02",33587
"0000118","11601",23,0,4,"02",78300
"0000119","11505",12,0,2,"02",53417
"0000120","11705",5,0,1,"01",18560
"0000121","11603",25,0,2,"02",70806
"0000122","11613",25,0,3,"03",7365
"0000123","11701",27,0,2,"02",37120
"0000124","11608",13,0,2,"02",141288
"0000125","11611",14,0,2,"02",65928
"0000126","11603",21,0,1,"09",45240
"0000127","11502",25,0,2,"02",60377
"0000128","11703",20,0,1,"02",31899
"0000129","11503",25,0,3,"03",7423
"0000130","11615",16,0,3,"02",49880
"0000131","11602",14,0,2,"02",45588
"0000132","11506",17,0,4,"02",60899
"0000133","11607",31,0,4,"07",74472
"0000134","11616",16,0,4,"02",162400
"0000135","11506",12,0,2,"02",14383
"0000136","11610",15,0,6,"02",30623
"0000137","11501",50,0,2,"09",8816
"0000138","11616",8,0,2,"02",99098
"0000139","11802",18,0,2,"06",14963
"0000140","11608",80,0,3,"06",36540
