SERIALNO,AGE,WRKLYR,INCTOT
0000116,55,2,0
0000116,21,2,348
0000117,24,1,11605
0000117,26,1,8700
0000117,22,1,13281
0000118,43,1,57999
0000118,37,1,20300
0000118,7,0,NA
0000118,5,0,NA
0000119,64,1,49590
0000119,64,2,3827
0000120,36,1,18560
0000121,84,2,33060
0000121,59,1,37746
0000122,52,2,4698
0000122,47,2,1334
0000122,18,2,1334
0000123,45,1,26100
0000123,45,1,11020
0000124,66,2,135140
0000124,64,2,6148
0000125,68,2,10788
0000125,61,1,55140
0000126,44,1,45240
0000127,62,1,37178
0000127,56,1,23200
0000128,54,2,31899
0000129,32,1,7423
0000129,8,0,NA
0000129,6,0,NA
0000130,28,1,25520
0000130,28,1,24360
0000130,3,0,NA
0000131,77,2,38918
0000131,75,2,6669
0000132,33,1,8700
0000132,33,1,52200
0000132,9,0,NA
0000132,6,0,NA
0000133,40,1,74472
0000133,37,2,0
0000133,13,0,NA
0000133,6,0,NA
0000134,42,2,0
0000134,41,1,162400
0000134,14,0,NA
0000134,11,0,NA
0000135,44,1,14383
0000135,13,0,NA
0000136,25,1,3016
0000136,2,0,NA
0000136,9,0,NA
0000136,33,1,5684
0000136,65,2,4524
0000136,61,1,17400
0000137,31,1,8816
0000137,6,0,NA
0000138,63,1,81350
0000138,60,1,17748
0000139,54,1,13919
0000139,24,1,1044
0000140,28,1,36540
0000140,25,2,0
0000140,3,0,NA
0000141,41,1,37700
0000141,37,2,0
0000141,12,0,NA
0000141,10,0,NA
0000141,9,0,NA
0000141,7,0,NA
0000141,4,0,NA
0000141,2,0,NA
0000142,74,0,NA
0000143,36,0,NA
0000143,17,0,NA
0000144,56,2,0
0000144,53,1,28999
0000144,15,0,NA
0000144,86,2,15369
0000145,62,2,14731
0000146,36,1,7133
0000146,42,1,20996
0000146,11,0,NA
0000146,9,0,NA
0000147,23,1,8700
0000148,22,1,812
0000148,22,1,16634
0000149,55,1,78880
0000149,52,1,9744
0000149,17,2,0
0000149,13,0,NA
0000150,25,1,17400
0000150,29,1,23780
0000151,58,1,48720
0000152,41,1,33640
0000152,44,1,35960
0000152,13,0,NA
0000152,9,0,NA
0000152,12,0,NA
0000153,55,2,5829
0000153,56,0,NA
0000153,24,0,NA
0000153,76,0,NA
0000154,69,2,47850
0000154,67,2,6959
0000154,40,1,28999
0000155,43,1,42920
0000155,43,0,NA
0000155,7,0,NA
0000155,2,0,NA
0000156,82,2,21344
0000156,66,2,6496
0000157,41,1,45820
0000157,38,2,0
0000157,8,0,NA
0000157,5,0,NA
0000157,1,0,NA
0000158,24,1,6380
0000158,23,1,2929
0000159,53,1,34800
0000160,68,2,4785
0000161,29,1,13919
0000161,29,1,32479
0000162,44,1,23200
0000162,15,0,NA
0000162,12,0,NA
0000163,55,2,34220
0000163,59,2,0
0000164,39,1,45240
0000165,45,1,73022
0000165,43,1,46400
0000166,61,2,58579
0000166,59,2,0
0000167,68,2,5133
0000168,64,1,120291
0000168,66,2,5800
0000169,45,1,66120
0000169,44,1,38280
0000169,15,0,NA
0000169,12,0,NA
0000170,65,2,6554
0000171,25,1,4350
0000171,26,1,13919
0000171,7,0,NA
0000171,3,0,NA
0000171,2,0,NA
0000171,1,0,NA
0000172,66,2,21442
0000173,34,2,0
0000173,38,1,87000
0000173,4,0,NA
0000173,2,0,NA
0000173,2,0,NA
0000174,27,1,19720
0000174,9,0,NA
0000174,1,0,NA
0000175,42,1,33065
0000176,60,1,87000
0000176,57,2,4872
0000177,26,1,37700
0000177,30,1,34800
0000178,65,1,31899
0000179,74,2,53069
0000179,73,2,46748
0000180,72,1,60899
0000180,75,2,8584
0000180,47,1,14673
0000181,53,1,46284
0000182,47,2,17400
0000182,45,2,0
0000182,13,0,NA
0000182,11,0,NA
0000182,9,0,NA
0000183,66,2,22678
0000183,63,2,28883
0000184,25,1,28999
0000184,24,1,17400
0000185,58,1,34800
0000185,29,1,3479
0000186,44,1,37700
0000186,23,1,3190
0000187,32,1,3479
0000187,38,1,52200
0000187,3,0,NA
0000187,0,0,NA
0000188,24,1,4350
0000189,41,2,580
0000190,43,1,57999
0000191,68,2,12087
0000192,39,1,57999
0000192,39,2,0
0000192,17,2,0
0000192,15,0,NA
0000192,8,0,NA
0000193,49,1,46400
0000193,40,2,8700
0000193,6,0,NA
0000194,94,2,16297
0000195,59,1,92800
0000196,31,2,23490
0000197,34,2,0
0000197,38,1,34800
0000197,4,0,NA
0000197,2,0,NA
0000198,31,1,17400
0000198,29,1,13339
0000198,27,1,11600
0000199,69,2,4651
0000199,58,1,20880
0000200,40,1,15660
0000200,27,1,14847
0000200,3,0,NA
0000201,52,1,116011
