Geo,Year,RelEmp15to19,RelEmp20to29,RelEmp30to54,RelEmp55to64,RelEmp65Plus
PSRC,2018,0.85,0.85,0.85,0.85,0.85
PSRC,2050,0.85,0.85,0.85,0.85,0.85
