Geo,Year,VanPropIcev,VanPropHev,VanPropBev,BusPropIcev,BusPropHev,BusPropBev,RailPropIcev,RailPropHev,RailPropEv
PSRC,2018,1,0,0,1,0,0,0,0,1
PSRC,2050,1,0,0,1,0,0,0,0,1
