Year,CarSvcAutoPropIcev,CarSvcAutoPropHev,CarSvcAutoPropBev,CarSvcLtTrkPropIcev,CarSvcLtTrkPropHev,CarSvcLtTrkPropBev,Geo
2018,0.99,0.01,0.0,1.0,0.0,0.0,PSRC
2050,0.441,0.528,0.031,0.5335,0.4572,0.0093,PSRC
