Geo,D3bpo4,Year
530330001011,5.0,2018
530330001012,2.0,2018
530330001013,4.0,2018
530330001021,9.0,2018
530330001022,13.0,2018
530330001023,12.0,2018
530330002011,12.0,2018
530330002012,40.0,2018
530330002013,10.0,2018
530330002021,10.0,2018
530330002022,23.0,2018
530330002023,35.0,2018
530330003001,15.0,2018
530330003002,23.0,2018
530330004021,8.0,2018
530330004022,38.0,2018
530330004023,14.0,2018
530330004024,16.0,2018
530330004031,11.0,2018
530330004032,3.0,2018
530330004041,6.0,2018
530330004042,4.0,2018
530330004043,5.0,2018
530330005001,16.0,2018
530330005002,24.0,2018
530330006011,10.0,2018
530330006012,14.0,2018
530330006013,15.0,2018
530330006021,16.0,2018
530330006022,9.0,2018
530330006023,13.0,2018
530330007001,24.0,2018
530330007002,15.0,2018
530330007003,9.0,2018
530330007004,5.0,2018
530330008001,15.0,2018
530330008002,24.0,2018
530330009001,9.0,2018
530330009002,13.0,2018
530330010001,2.0,2018
530330010002,6.0,2018
530330011001,12.0,2018
530330011002,16.0,2018
530330012011,6.0,2018
530330012012,6.0,2018
530330012013,38.0,2018
530330012021,18.0,2018
530330012022,6.0,2018
530330012023,6.0,2018
530330013001,20.0,2018
530330013002,20.0,2018
530330013003,29.0,2018
530330014001,16.0,2018
530330014002,29.0,2018
530330014003,13.0,2018
530330014004,20.0,2018
530330015001,7.0,2018
530330015002,6.0,2018
530330016001,14.0,2018
530330016002,16.0,2018
530330016003,17.0,2018
530330017011,10.0,2018
530330017012,28.0,2018
530330017013,23.0,2018
530330017021,9.0,2018
530330017022,13.0,2018
530330017023,10.0,2018
530330017024,18.0,2018
530330018001,15.0,2018
530330018002,7.0,2018
530330018003,11.0,2018
530330019001,19.0,2018
530330019002,9.0,2018
530330019003,30.0,2018
530330019004,22.0,2018
530330020001,13.0,2018
530330020002,12.0,2018
530330020003,13.0,2018
530330021001,16.0,2018
530330021002,21.0,2018
530330021003,6.0,2018
530330022001,8.0,2018
530330022002,12.0,2018
530330022003,12.0,2018
530330022004,10.0,2018
530330024001,14.0,2018
530330024002,12.0,2018
530330025001,22.0,2018
530330025002,15.0,2018
530330026001,33.0,2018
530330026002,19.0,2018
530330026003,18.0,2018
530330026004,13.0,2018
530330027001,22.0,2018
530330027002,21.0,2018
530330027003,17.0,2018
530330027004,24.0,2018
530330028001,27.0,2018
530330028002,25.0,2018
530330028003,18.0,2018
530330028004,16.0,2018
530330029001,34.0,2018
530330029002,25.0,2018
530330029003,17.0,2018
530330030001,34.0,2018
530330030002,25.0,2018
530330030003,20.0,2018
530330030004,28.0,2018
530330031001,28.0,2018
530330031002,33.0,2018
530330031003,14.0,2018
530330031004,21.0,2018
530330031005,37.0,2018
530330032011,27.0,2018
530330032012,52.0,2018
530330032013,6.0,2018
530330032021,10.0,2018
530330032022,18.0,2018
530330032023,17.0,2018
530330033011,10.0,2018
530330033012,12.0,2018
530330033013,12.0,2018
530330033021,11.0,2018
530330033022,15.0,2018
530330033023,12.0,2018
530330034001,14.0,2018
530330034002,9.0,2018
530330034003,16.0,2018
530330035001,20.0,2018
530330035002,35.0,2018
530330035003,34.0,2018
530330036011,24.0,2018
530330036012,21.0,2018
530330036013,6.0,2018
530330036021,10.0,2018
530330036022,13.0,2018
530330036023,7.0,2018
530330038001,10.0,2018
530330038002,7.0,2018
530330039001,17.0,2018
530330039002,11.0,2018
530330040001,47.0,2018
530330040002,8.0,2018
530330041011,8.0,2018
530330041012,12.0,2018
530330041013,22.0,2018
530330041021,7.0,2018
530330041022,18.0,2018
530330041023,9.0,2018
530330042011,16.0,2018
530330042012,16.0,2018
530330042013,11.0,2018
530330042021,25.0,2018
530330042022,19.0,2018
530330042023,16.0,2018
530330043011,73.0,2018
530330043012,7.0,2018
530330043013,23.0,2018
530330043021,3.0,2018
530330043022,1.0,2018
530330043023,5.0,2018
530330044011,39.0,2018
530330044012,26.0,2018
530330044013,19.0,2018
530330044021,12.0,2018
530330044022,18.0,2018
530330044023,5.0,2018
530330045001,13.0,2018
530330045002,19.0,2018
530330046001,16.0,2018
530330046002,12.0,2018
530330046003,16.0,2018
530330047011,9.0,2018
530330047012,9.0,2018
530330047013,7.0,2018
530330047021,14.0,2018
530330047022,10.0,2018
530330047023,0.0,2018
530330047031,15.0,2018
530330047032,30.0,2018
530330047033,42.0,2018
530330048001,22.0,2018
530330048002,14.0,2018
530330048003,35.0,2018
530330048004,18.0,2018
530330049011,16.0,2018
530330049012,11.0,2018
530330049013,10.0,2018
530330049021,23.0,2018
530330049022,22.0,2018
530330050001,40.0,2018
530330050002,13.0,2018
530330050003,16.0,2018
530330051001,26.0,2018
530330051002,26.0,2018
530330051003,26.0,2018
530330052011,16.0,2018
530330052012,12.0,2018
530330052013,6.0,2018
530330052021,5.0,2018
530330052022,15.0,2018
530330052023,4.0,2018
530330053031,44.0,2018
530330053032,228.0,2018
530330053041,4.0,2018
530330053042,8.0,2018
530330053051,12.0,2018
530330053052,8.0,2018
530330053061,15.0,2018
530330053062,11.0,2018
530330053071,2.0,2018
530330053072,2.0,2018
530330053073,4.0,2018
530330054011,4.0,2018
530330054012,23.0,2018
530330054013,27.0,2018
530330054021,13.0,2018
530330054022,10.0,2018
530330054023,11.0,2018
530330056001,20.0,2018
