Geo,Year,GrpAge0to14,GrpAge15to19,GrpAge20to29,GrpAge30to54,GrpAge55to64,GrpAge65Plus
PSRC,2018,0,0,0,0,0,0
PSRC,2050,0,0,0,0,0,0
