CRRevMi,HRRevMi,MBRevMi,DRRevMi,VPRevMi,RBRevMi,MGRevMi,SRRevMi,Year,Geo
3304292,5429764,48135170,14924867,25145665,13895882,209229,3369794,2018,PSRC
3304292,5429764,48135170,14924867,25145665,13895882,209229,3369794,2050,PSRC
