Drv15to19AdjProp,Drv20to29AdjProp,Drv30to54AdjProp,Drv55to64AdjProp,Drv65PlusAdjProp,Year,Geo
1,1,1,1,1,2018,PSRC
1,1,1,1,1,2050,PSRC
