Geo,Year,Latitude,Longitude
530330001011,2018,47.7310181,-122.2913433
530330001012,2018,47.7321347,-122.2947571
530330001013,2018,47.7280809,-122.2935221
530330001021,2018,47.7277844,-122.2815659
530330001022,2018,47.7235347,-122.2905241
530330001023,2018,47.7210489,-122.293602
530330002011,2018,47.728429,-122.3190004
530330002012,2018,47.7254464,-122.3104368
530330002013,2018,47.7227238,-122.3160712
530330002021,2018,47.7283564,-122.2991849
530330002022,2018,47.7223274,-122.3027241
530330002023,2018,47.7302076,-122.3059639
530330003001,2018,47.7300655,-122.3289033
530330003002,2018,47.7313844,-122.3404351
530330004021,2018,47.7223429,-122.3556433
530330004022,2018,47.7152667,-122.3481923
530330004023,2018,47.7141594,-122.3555649
530330004024,2018,47.7185814,-122.3577694
530330004031,2018,47.7295922,-122.3582502
530330004032,2018,47.7251696,-122.3533294
530330004041,2018,47.7329839,-122.3497477
530330004042,2018,47.7309654,-122.3522781
530330004043,2018,47.7258721,-122.3464249
530330005001,2018,47.7249368,-122.3718768
530330005002,2018,47.7168766,-122.3644112
530330006011,2018,47.7167244,-122.3153266
530330006012,2018,47.7174553,-122.327731
530330006013,2018,47.7152889,-122.3196421
530330006021,2018,47.7252024,-122.3373241
530330006022,2018,47.7188129,-122.3363779
530330006023,2018,47.7110086,-122.339029
530330007001,2018,47.7156234,-122.3093378
530330007002,2018,47.7150069,-122.3009881
530330007003,2018,47.7177766,-122.2973278
530330007004,2018,47.7159637,-122.2933915
530330008001,2018,47.715389,-122.2871488
530330008002,2018,47.7081667,-122.2852863
530330009001,2018,47.7127865,-122.2796303
530330009002,2018,47.7080031,-122.2748976
530330010001,2018,47.7096097,-122.2963085
530330010002,2018,47.7043678,-122.2959069
530330011001,2018,47.709202,-122.305686
530330011002,2018,47.7040591,-122.3078549
530330012011,2018,47.7104044,-122.3219482
530330012012,2018,47.7104517,-122.3300128
530330012013,2018,47.7056899,-122.3286265
530330012021,2018,47.7076518,-122.3151336
530330012022,2018,47.7030798,-122.3184863
530330012023,2018,47.7049473,-122.3218364
530330013001,2018,47.7028875,-122.3378539
530330013002,2018,47.7048241,-122.3460365
530330013003,2018,47.7001756,-122.3450379
530330014001,2018,47.7105298,-122.3555061
530330014002,2018,47.7070787,-122.3585215
530330014003,2018,47.7028664,-122.3643079
530330014004,2018,47.7062878,-122.3734343
530330015001,2018,47.6961958,-122.3905365
530330015002,2018,47.6979157,-122.3990268
530330016001,2018,47.70392,-122.3809455
530330016002,2018,47.6963992,-122.3832978
530330016003,2018,47.6933275,-122.377954
530330017011,2018,47.6921888,-122.3576268
530330017012,2018,47.6958402,-122.3525289
530330017013,2018,47.7020793,-122.3528889
530330017021,2018,47.7010508,-122.3574753
530330017022,2018,47.6924455,-122.3687262
530330017023,2018,47.6963785,-122.368407
530330017024,2018,47.6973403,-122.3606986
530330018001,2018,47.694232,-122.3375893
530330018002,2018,47.692222,-122.3443809
530330018003,2018,47.695404,-122.3465571
530330019001,2018,47.6949507,-122.3203287
530330019002,2018,47.6931901,-122.3283762
530330019003,2018,47.7022513,-122.325819
530330019004,2018,47.6991651,-122.3283063
530330020001,2018,47.6943282,-122.308067
530330020002,2018,47.6988831,-122.3124507
530330020003,2018,47.69353,-122.313525
530330021001,2018,47.6969413,-122.2940059
530330021002,2018,47.696547,-122.3003376
530330021003,2018,47.6917736,-122.3004917
530330022001,2018,47.7017757,-122.2834575
530330022002,2018,47.6962437,-122.2861748
530330022003,2018,47.6929599,-122.2704272
530330022004,2018,47.6873352,-122.2727878
530330024001,2018,47.6880329,-122.2871805
530330024002,2018,47.6846727,-122.2889596
530330025001,2018,47.6865099,-122.301475
530330025002,2018,47.6794113,-122.30366
530330026001,2018,47.687589,-122.3094869
530330026002,2018,47.6822031,-122.3113993
530330026003,2018,47.6776154,-122.312003
530330026004,2018,47.6860499,-122.3146964
530330027001,2018,47.6870853,-122.3206511
530330027002,2018,47.6866721,-122.327886
530330027003,2018,47.6871297,-122.3344937
