Geo,Year,VanPropDiesel,VanPropGasoline,VanPropCng,BusPropDiesel,BusPropGasoline,BusPropCng,RailPropDiesel,RailPropGasoline
PSRC,2018,0,1,0,0.2,0,0.8,1,0
PSRC,2050,0,1,0,0.2,0,0.8,1,0
