Year,HhFuelCI,CarSvcFuelCI,ComSvcFuelCI,HvyTrkFuelCI,TransitVanFuelCI,TransitBusFuelCI,TransitRailFuelCI,Geo
2018,90.38,90.38,90.38,,,,,PSRC
2050,72.3,72.3,72.3,,,,,PSRC
