Geo,RetEmp,SvcEmp,TotEmp,Year
530330052011,195,26,545.0,2018
530330052012,68,36,388.0,2018
530330052013,275,19,526.0,2018
530330052021,110,6,213.0,2018
530330052022,3,32,169.0,2018
530330052023,0,5,37.0,2018
530330053031,67,132,5790.0,2018
530330053032,0,0,21004.0,2018
530330053041,0,0,0.0,2018
530330053042,146,45,361.0,2018
530330053051,483,127,1382.0,2018
530330053052,185,30,486.0,2018
530330053061,490,152,1813.0,2018
530330053062,186,43,534.0,2018
530330053071,0,38,48.0,2018
530330053072,2,50,66.0,2018
530330053073,1,65,83.0,2018
530330054011,52,20,1138.0,2018
530330054012,50,97,1243.0,2018
530330054013,135,107,2998.0,2018
530330054021,8,23,108.0,2018
530330054022,70,188,618.0,2018
530330054023,30,80,286.0,2018
530330056001,0,0,0.0,2018
530330056002,0,0,0.0,2018
530330056003,9,46,204.0,2018
530330056004,43,23,268.0,2018
530330056005,66,116,356.0,2018
530330057001,18,24,473.0,2018
530330057002,3,10,106.0,2018
530330057003,97,55,508.0,2018
530330057004,74,22,166.0,2018
530330057005,69,47,368.0,2018
530330058011,11,17,117.0,2018
530330058012,2,23,147.0,2018
530330058013,7,19,145.0,2018
530330058014,202,367,3685.0,2018
530330058031,12,39,170.0,2018
530330058032,0,2,109.0,2018
530330058041,353,274,2700.0,2018
530330058042,125,49,453.0,2018
530330059011,21,13,911.0,2018
530330059012,10,14,1009.0,2018
530330059013,14,18,425.0,2018
530330059021,2,20,1108.0,2018
530330059022,36,15,151.0,2018
530330059023,55,67,415.0,2018
530330060001,78,110,716.0,2018
530330060002,5,48,528.0,2018
530330060003,0,36,174.0,2018
530330060004,35,164,1125.0,2018
530330061001,99,64,629.0,2018
530330061002,5,45,326.0,2018
530330061003,10,19,170.0,2018
530330061004,11,177,697.0,2018
530330061005,62,68,1264.0,2018
530330062001,8,80,232.0,2018
530330062002,47,118,378.0,2018
530330062003,25,25,191.0,2018
530330063001,65,18,276.0,2018
530330063002,46,186,429.0,2018
530330063003,79,87,555.0,2018
530330063004,11,186,464.0,2018
530330064001,5,26,115.0,2018
530330064002,0,0,0.0,2018
530330064003,11,64,325.0,2018
530330065001,6,37,285.0,2018
530330065002,12,64,270.0,2018
530330065003,19,31,184.0,2018
530330066001,264,409,7563.0,2018
530330066002,4,37,563.0,2018
530330066003,15,44,311.0,2018
530330067011,11,50,420.0,2018
530330067012,31,74,950.0,2018
530330067013,93,136,2476.0,2018
530330067021,15,46,686.0,2018
530330067022,6,31,692.0,2018
530330067023,19,67,1396.0,2018
530330067031,10,33,180.0,2018
530330067032,2,0,32.0,2018
530330067033,11,0,27.0,2018
530330068001,6,101,363.0,2018
530330068002,267,78,792.0,2018
