Level,Art_Rcr,Art_NonRcr,Fwy_Rcr,Fwy_NonRcr,Geo
None,0,0,0,0,PSRC
Mod,0,0,0,0,PSRC
Hvy,0,0,0,0,PSRC
Sev,0,0,0,0,PSRC
Ext,0,0,0,0,PSRC
